id_partie,status,joueur_depart,joueur_gagnant,rows,cols,confiance,signature
61502,terminee,R,Y,9,9,1,6473584446563355766415455788333874166611588818113347548611377722999272222999
61501,terminee,R,Y,9,9,1,4544544654652877666577
61500,terminee,R,R,9,9,1,53454555554476466741446576666222211722114256227771199999337171988999888888833
61499,terminee,R,Y,9,9,1,64466654554562526466875225548448119288226895799422777889911333
61498,terminee,R,Y,9,9,1,4445646456655654455254457997922199222211119191191922776677663333
61497,terminee,R,R,9,9,1,43454445545552233232333224488677787781666
61496,terminee,R,R,9,9,1,63435764557546676554665433556263344
61495,terminee,R,Y,9,9,1,3644666452435553
61494,terminee,R,Y,9,9,1,677354645443665562
61493,terminee,R,Y,9,9,1,74576854455332175547788472267788335993448578941158833112243132991966
61492,terminee,R,R,9,9,1,344564556366538544864335594833548889858843999916666
61491,terminee,R,Y,9,9,1,454544465538767733513757771377148881441866
61490,terminee,R,R,9,9,1,366764556654445455332
61489,terminee,R,R,9,9,1,4555656554445664454844883282922893333
61488,terminee,R,Y,9,9,1,574763545544773533475544778574666513121171983111413999939988222866
61487,terminee,R,Y,9,9,1,55645544557846666472222216264577474477766119551111229299999991888888
61486,terminee,R,R,9,9,1,767546556658457727642644133
61485,terminee,R,Y,9,9,1,3576464455641245325232
61484,terminee,R,R,9,9,1,454455655544222413366333325442566625496698888882338869979999983221111
61483,terminee,R,R,9,9,1,6657435444556655556444446166292658222882822188333
61482,terminee,R,Y,9,9,1,663546545546644551464456554668281922228282289881811129198999119977
61481,terminee,R,R,9,9,1,5665546454476647777559845664559292177799299224421337888
61480,terminee,R,Y,9,9,1,365565556634667328878775772722888699677558
61479,terminee,R,Y,9,9,1,355355455664434786443387658879211611887766648335651134499198991931982222
61478,terminee,R,R,9,9,1,47565665462332352233522554443434436669877755646773772229888888799999189891111
61476,terminee,R,Y,9,9,1,3564645665455388334454486655165669221119881828882299991114242212999777
61475,terminee,R,R,9,9,1,453746855544851265547448766
61474,terminee,R,R,9,9,1,643546565665345844363
61473,terminee,R,Y,9,9,1,744356666555764457774455667746412212522625949922991133
61472,terminee,R,R,9,9,1,45445666655455667776447775744557661212229222922499979991191111133
61471,terminee,R,Y,9,9,1,4654466656554532244552454466656922221872181199288977
61470,terminee,R,R,9,9,1,47364586443312251
61469,terminee,R,Y,9,9,1,6563556655362663352556779835332267829778
61468,terminee,R,R,9,9,1,67666456564745545776655771224477545446222229888888871111112219999919988933333
61467,terminee,R,Y,9,9,1,564465456556324232245524456646622459699119991122939391113113778878
